agency,description,municipality,name,investment,status,latitude,longitude,created_by_id,updated_by_id,created_at,updated_at,deleted,progress
IDEFEEY,"REHABILITACIÓN GENERAL Y ADECUACIÓN DE ESPACIOS EN LA ESCUELA PREESCOLAR JOSEFA ORTIZ DE DOMÍNGUEZ DE LA LOCALIDAD DE PUSTUNICH, MUNICIPIO DE TICUL, CCT. 31DIN2080Z.",Ticul,Ticul,7698506.58,FINALIZADA,20.38586502,-89.53848228,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"CONSTRUCCIÓN DE UN COMEDOR EN LA ESCUELA PREESCOLAR ENRIQUE DÍAZ VILLAMIL, DE LA LOCALIDAD Y MUNICIPIO DE TIXKOKOB, CCT. 31DJN0014C.",Tixkokob,Tixkokob,1617714.92,EN_PROCESO,20.98592284,-89.38394774,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"REHABILITACIÓN DE COMEDOR EN LA ESCUELA PRIMARIA TIBURCIO FLOTA PÉREZ DE LA LOCALIDAD DE KIMBILÁ MUNICIPIO DE TIXMEHUAC, CCT. 31DPB0186K.",Tixméhuac,Tixméhuac,1274500,EN_PROCESO,20.24087519,-89.10955394,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES
 DE LA LOCALIDAD  Y MUNICIPIO DE TIXMÉHUAC
 CCT. 31ECB0060Z",Tixméhuac,Tixméhuac,29002.06,EN_PROCESO,20.24087519,-89.10955394,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES
 DE LA LOCALIDAD  Y MUNICIPIO DE TIXPÉHUAL
 CCT. 31ECB0063W",Tixpéhual,Tixpéhual,29002.06,EN_PROCESO,20.96565453,-89.47368309,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES DE LA LOCALIDAD DE TIZIMÍN  Y MUNICIPIO DE COLONIA YUCATÁN
 CCT. 31ECB0044H",Tizimín,Tizimín,29002.06,EN_PROCESO,21.36746569,-87.9777972,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES  DE LA LOCALIDAD DE TIZIMÍN  Y MUNICIPIO DE DZONOT CARRETERO
 CCT. 31EMS0007K",Tizimín,Tizimín,29002.06,EN_PROCESO,21.36746569,-87.9777972,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"MANTENIMIENTO EN LA ESCUELA SECUNDARIA MIGUEL BARRERA PALMERO DE LA LOCALIDAD Y MUNICIPIO DE TIZIMÍN, CCT. 31EES0028O.",Tizimín,Tizimín,2398500.3,EN_PROCESO,21.36746569,-87.9777972,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES
 DE LA LOCALIDAD  Y MUNICIPIO DE YAXCABÁ
 CCT. 31ECB0017K",Yaxcabá,Yaxcabá,29002.06,EN_PROCESO,20.48138615,-88.74242352,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL ABALÁ DE LA LOCALIDAD Y MUNICIPIO DE ABALÁ, CCT. 31ECB0053P.",ABALÁ,Abalá,46316.36,EN_PROCESO,20.66056981,-89.68630604,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
